Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
186,Cabelas,467.85,,0.6,DTCS,88.5,88.5,654,NN,654,Tone->Tone,NFM,5,,50W,Cabelas (Garner),,,,
187,Best Buy,467.925,,0.6,DTCS,88.5,88.5,506,NN,506,Tone->Tone,NFM,5,,50W,Best Buy (Garner),,,,
188,Dicks SG,467.875,,0.6,TSQL,94.8,94.8,23,NN,23,Tone->Tone,NFM,5,,50W,Dicks Sporting Goods (Garner),,,,
189,North Hills Mall,464.8625,split,469.8625,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,North Hills Mall - Security,,,,
190,Crabtree 464.05,464.05,split,469.05,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Mall Operations,,,,
191,Crabtree 461.025,461.025,split,466.025,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Mall Operations,,,,
192,TTC Ops,463.475,split,468.475,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Operations,,,,
193,HmwdStesCary,463.425,,0.6,TSQL,179.9,179.9,23,NN,23,Tone->Tone,NFM,5,,50W,Homewood Suite (Cary) - Maintenance,,,,
194,Piedmont Com,451.75,split,456.75,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Piedmont Communications - School,,,,
195,Citrix 1,451.925,split,456.925,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Citrix,,,,
196,Citrix 2,451.925,split,456.925,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Citrix,,,,
197,DowntownSecurit,452.25,split,457.25,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Downtown Safety Ambassadors (Allied Barton),,,,
198,DukeRaleigh Ops1,464.6625,split,469.6625,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Duke Raleigh - Housekeeping/Security,,,,
199,DukeRaleigh Ops2,464.6625,split,469.6625,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Duke Raleigh - Operations,,,,
200,RexRaleigh Sec,463.875,split,468.875,TSQL,107.2,107.2,23,NN,23,Tone->Tone,NFM,5,,50W,Rex Hospital Raleigh - Security,,,,
201,RDU1 2-1,464.0125,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Amazon,,,,
202,RDU1 2-1 Slot 2,464.0125,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Amazon,,,,
203,RDU1 2-2,464.0375,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Amazon,,,,
204,RDU1 2-2 Slot 2,464.0375,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Amazon,,,,
205,RDU1 2-3,464.0875,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Amazon,,,,
206,RDU1 2-3 Slot 2,464.0875,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Amazon,,,,
207,RDU1 2-4,464.175,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Amazon,,,,
208,RDU1 2-4 Slot 2,464.175,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Amazon,,,,
209,RDU1 2-5,464.1875,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Amazon,,,,
210,RDU1 2-5 Slot 2,464.1875,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Amazon,,,,
211,RDU1 2-6,464.2125,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Amazon,,,,
212,RDU1 2-6 Slot 2,464.2125,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Amazon,,,,
213,RDU1 2-7,464.225,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Amazon,,,,
214,RDU1 2-7 Slot 2,464.225,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Amazon,,,,
215,RDU1 2-8,464.2375,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Amazon,,,,
216,RDU1 2-8 Slot 2,464.2375,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Amazon,,,,
217,GFSE 451.912,451.9125,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Gale Force Sports and Entertainment,,,,
218,GFSE 452.975,452.975,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Gale Force Sports and Entertainment,,,,
219,GFSE 461.387,461.3875,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Gale Force Sports and Entertainment,,,,
220,GFSE 462.162,462.1625,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Gale Force Sports and Entertainment,,,,
221,GFSE 463.287,463.2875,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Gale Force Sports and Entertainment,,,,
222,GFSE 464.362,464.3625,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Gale Force Sports and Entertainment,,,,
223,NCSTATEOPS,463.225,split,468.225,TSQL,71.9,71.9,23,NN,23,Tone->Tone,NFM,5,,50W,NC State Fairgrounds Operations,,,,
224,Processing,408.1375,split,417.1375,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Processing Ops,,,,
225,Dist/Receiving,406.5375,split,415.5375,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Distribution/Receiving Ops,,,,
